[2020-09-01 00:02:40.680390 +08:00] ERROR [ntex::http::h1::dispatcher] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/http/h1/dispatcher.rs:697: Internal server error: unexpected http message
[2020-09-01 00:33:26.202406 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 132.148.141.147:54584 "GET /wp-login.php HTTP/1.1" 404 0 "http://archimboldi.xyz/wp-login.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0" 0.000128
[2020-09-01 01:02:45.525907 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 47.92.35.138:45124 "GET / HTTP/1.1" 200 4052 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 Firefox/36.0" 0.000341
[2020-09-01 01:02:47.329787 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 47.92.35.138:45126 "GET /images/satellite.png HTTP/1.1" 200 6165 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 Firefox/36.0" 0.000361
[2020-09-01 01:02:47.330479 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 47.92.35.138:45127 "GET /images/star.png HTTP/1.1" 200 16929 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 Firefox/36.0" 0.000265
[2020-09-01 01:51:21.973662 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 60.214.64.3:39432 "GET / HTTP/1.1" 200 4052 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" 0.000329
[2020-09-01 04:09:34.626800 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 198.143.158.82:55712 "GET / HTTP/1.1" 200 4052 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36" 0.033708
[2020-09-01 06:33:01.549735 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 203.208.60.104:38088 "GET /robots.txt HTTP/1.1" 404 0 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 0.000125
[2020-09-01 06:33:03.087801 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 203.208.60.105:51724 "GET /images/star.png HTTP/1.1" 200 16929 "-" "Googlebot-Image/1.0" 0.035968
[2020-09-01 07:15:23.238277 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 139.162.16.60:54586 "GET / HTTP/1.1" 200 4052 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36" 0.000337
[2020-09-01 07:15:24.050127 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 139.162.16.60:54586 "GET /favicon.ico HTTP/1.1" 404 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36" 0.000105
[2020-09-01 07:15:24.448732 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 139.162.16.60:54586 "GET /images/favicon.png HTTP/1.1" 200 8799 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36" 0.060351
[2020-09-01 08:21:38.924647 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 92.118.161.9:40697 "GET / HTTP/1.1" 200 4052 "-" "NetSystemsResearch studies the availability of various services across the internet. Our website is netsystemsresearch.com" 0.000363
[2020-09-01 10:57:22.018123 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 34.222.61.252:60085 "GET / HTTP/1.1" 200 4052 "-" "-" 0.058621
[2020-09-01 11:02:53.088035 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 34.210.5.138:49780 "HEAD /epa/scripts/win/nsepa_setup.exe HTTP/1.1" 404 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" 0.000112
[2020-09-01 11:30:35.971701 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 182.138.137.73:54916 "GET / HTTP/1.1" 200 4052 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.21 (KHTML, like Gecko) Chrome/19.0.1042.0 Safari/535.21" 0.000328
[2020-09-01 11:53:22.240099 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 192.36.52.37:40759 "GET /robots.txt HTTP/1.1" 404 0 "http://archimboldi.xyz/robots.txt" "Go-http-client/1.1" 0.000100
[2020-09-01 11:53:24.156224 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 192.71.30.89:40123 "GET /humans.txt HTTP/1.1" 404 0 "http://archimboldi.xyz/humans.txt" "Go-http-client/1.1" 0.000121
[2020-09-01 11:53:25.392344 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 192.71.23.211:40793 "GET /ads.txt HTTP/1.1" 404 0 "http://archimboldi.xyz/ads.txt" "Go-http-client/1.1" 0.000097
[2020-09-01 11:53:28.902799 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 192.36.248.249:34481 "GET / HTTP/1.1" 200 4052 "http://archimboldi.xyz/" "Go-http-client/1.1" 0.000355
[2020-09-01 12:06:41.266901 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 167.248.133.49:45162 "GET / HTTP/1.1" 200 4052 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)" 0.000330
[2020-09-01 12:30:59.475636 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 95.77.206.131 "GET /smb_scheduler/cdr.htm HTTP/1.1" 404 0 "http://39.107.15.112/smb_scheduler/cdr.htm" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3; KB974488)" 0.000131
[2020-09-01 12:30:59.482500 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 95.77.206.131 "GET /index.html?findcli=-1 HTTP/1.1" 404 0 "http://39.107.15.112/index.html?findcli=-1" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3; KB974488)" 0.000107
[2020-09-01 12:30:59.498464 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 95.77.206.131 "GET /goip/cron.htm HTTP/1.1" 404 0 "http://39.107.15.112/goip/cron.htm" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3; KB974488)" 0.000126
[2020-09-01 12:30:59.509901 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 95.77.206.131 "GET / HTTP/1.1" 200 4052 "http://39.107.15.112/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3; KB974488)" 0.000349
[2020-09-01 12:34:53.950177 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 47.101.51.140:48455 "GET / HTTP/1.1" 200 4052 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 Firefox/36.0" 0.000298
[2020-09-01 12:34:54.944831 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 47.101.51.140:48460 "GET /images/star.png HTTP/1.1" 200 16929 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 Firefox/36.0" 0.000341
[2020-09-01 12:34:54.978598 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 47.101.51.140:48459 "GET /images/satellite.png HTTP/1.1" 200 6165 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 Firefox/36.0" 0.060273
[2020-09-01 12:37:52.839191 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 192.241.230.112:51782 "GET /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f HTTP/1.1" 404 0 "-" "Mozilla/5.0 zgrab/0.x" 0.000116
[2020-09-01 13:27:03.465138 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 74.82.47.3:33230 "GET / HTTP/1.1" 200 4052 "-" "-" 0.000348
[2020-09-01 14:17:33.350761 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 192.35.168.64:27734 "GET / HTTP/1.1" 200 4052 "http://39.107.15.112:80/" "Mozilla/5.0 zgrab/0.x" 0.000412
[2020-09-01 17:03:13.522021 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET / HTTP/2.0" 200 4052 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.000356
[2020-09-01 17:03:13.877880 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET /css/jeu.css HTTP/2.0" 200 3026 "https://archimboldi.xyz/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.315425
[2020-09-01 17:03:13.878125 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET /images/star.png HTTP/2.0" 200 16929 "https://archimboldi.xyz/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.000626
[2020-09-01 17:03:13.878208 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET /images/satellite.png HTTP/2.0" 200 6165 "https://archimboldi.xyz/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.000621
[2020-09-01 17:03:13.879001 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET /lib/axios.min.js HTTP/2.0" 200 13959 "https://archimboldi.xyz/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.292411
[2020-09-01 17:03:14.101091 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET /images/fza.jpg HTTP/2.0" 200 174435 "https://archimboldi.xyz/css/jeu.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.015788
[2020-09-01 17:03:14.102485 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET /api/get HTTP/2.0" 200 1170 "https://archimboldi.xyz/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.018017
[2020-09-01 17:03:14.303792 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET /images/favicon.png HTTP/2.0" 200 8799 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.000380
[2020-09-01 17:03:24.239917 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET /writing/ HTTP/2.0" 200 4466 "https://archimboldi.xyz/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.004701
[2020-09-01 17:03:24.279130 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET /lib/layui/css/layui.css HTTP/2.0" 200 74304 "https://archimboldi.xyz/writing/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.001708
[2020-09-01 17:03:24.279247 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET /css/cuipeng.css HTTP/2.0" 200 1182 "https://archimboldi.xyz/writing/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.001966
[2020-09-01 17:03:24.280357 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET /lib/layui/layui.js HTTP/2.0" 200 7396 "https://archimboldi.xyz/writing/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.002369
[2020-09-01 17:03:24.463027 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET /lib/layui/lay/modules/element.js HTTP/2.0" 200 7265 "https://archimboldi.xyz/writing/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.003801
[2020-09-01 17:03:24.466898 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET /images/mzz.jpg HTTP/2.0" 200 130629 "https://archimboldi.xyz/css/cuipeng.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.001859
[2020-09-01 17:03:24.497037 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET /lib/layui/lay/modules/jquery.js HTTP/2.0" 200 97652 "https://archimboldi.xyz/writing/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.001907
[2020-09-01 17:03:25.723552 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET /lib/layui/lay/modules/laytpl.js HTTP/2.0" 200 1837 "https://archimboldi.xyz/writing/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.001354
[2020-09-01 17:03:25.856159 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET /flash/a/0 HTTP/2.0" 200 201 "https://archimboldi.xyz/writing/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.074003
[2020-09-01 17:03:33.923254 +08:00] INFO [ntex::web::middleware::logger] /root/.cargo/registry/src/mirrors.sjtug.sjtu.edu.cn-7a04d2510079875b/ntex-0.1.21/src/web/middleware/logger.rs:250: 1.83.27.34:5081 "GET /zaixia.html HTTP/2.0" 200 1223 "https://archimboldi.xyz/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0" 0.008314
